Date,tsx_cl
"Dec 30, 2024","24,620.60"
"Dec 27, 2024","24,796.40"
"Dec 24, 2024","24,846.80"
"Dec 23, 2024","24,749.00"
"Dec 20, 2024","24,599.50"
"Dec 19, 2024","24,413.90"
"Dec 18, 2024","24,557.00"
"Dec 17, 2024","25,119.70"
"Dec 16, 2024","25,147.20"
"Dec 13, 2024","25,274.30"
"Dec 12, 2024","25,410.70"
"Dec 11, 2024","25,657.70"
"Dec 10, 2024","25,504.30"
"Dec 9, 2024","25,625.40"
"Dec 6, 2024","25,691.80"
"Dec 5, 2024","25,680.00"
"Dec 4, 2024","25,641.20"
"Dec 3, 2024","25,635.70"
"Dec 2, 2024","25,590.30"
"Nov 29, 2024","25,648.00"
"Nov 28, 2024","25,543.50"
"Nov 27, 2024","25,488.30"
"Nov 26, 2024","25,405.10"
"Nov 25, 2024","25,410.40"
"Nov 22, 2024","25,444.30"
"Nov 21, 2024","25,390.70"
"Nov 20, 2024","25,036.50"
"Nov 19, 2024","25,010.80"
"Nov 18, 2024","24,976.90"
"Nov 15, 2024","24,890.70"
"Nov 14, 2024","25,049.70"
"Nov 13, 2024","24,989.00"
"Nov 12, 2024","24,923.00"
"Nov 11, 2024","24,789.30"
"Nov 8, 2024","24,759.40"
"Nov 7, 2024","24,845.90"
"Nov 6, 2024","24,637.50"
"Nov 5, 2024","24,387.90"
"Nov 4, 2024","24,256.10"
"Nov 1, 2024","24,255.20"
"Oct 31, 2024","24,156.90"
"Oct 30, 2024","24,507.80"
"Oct 29, 2024","24,562.60"
"Oct 28, 2024","24,565.70"
"Oct 25, 2024","24,463.70"
"Oct 24, 2024","24,551.60"
"Oct 23, 2024","24,573.60"
"Oct 22, 2024","24,689.70"
"Oct 21, 2024","24,723.30"
"Oct 18, 2024","24,822.50"
"Oct 17, 2024","24,690.50"
"Oct 16, 2024","24,561.20"
"Oct 15, 2024","24,439.10"
"Oct 11, 2024","24,471.20"
"Oct 10, 2024","24,302.30"
"Oct 9, 2024","24,224.90"
"Oct 8, 2024","24,072.50"
"Oct 7, 2024","24,102.70"
"Oct 4, 2024","24,162.80"
"Oct 3, 2024","23,968.50"
"Oct 2, 2024","24,001.60"
"Oct 1, 2024","24,034.00"
"Sep 30, 2024","24,000.40"
"Sep 27, 2024","23,956.80"
